text,trans
うふふっ、どの子も可愛かったけど……\n今回の合格者は──,呵呵，虽然每个人都十分可爱……\n但是这次合格的是──
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,合格的偶像，非常棒哦\n我很喜欢。多多活跃吧
おめでとうございます。ランクアップです\nまたひとつ、夢に近づきましたね！,恭喜你！排名上升了。\n向着梦想又靠进了一步！
シーズン終了です。残念ながら目標には届きませんでした\nやはり、壁は厚いですね……,季度结束了。很遗憾没有达成目标\n果然很困难呢……
プロデューサーさん、シーズン１が終了しましたよ\n次のシーズンも一緒に頑張りましょう～,制作人先生，第一季度已经结束了\n下个季度也一起加油吧～
プロデューサーさん、シーズン終了です！\nその見事な手腕、来シーズンも見せてくださいね！,制作人先生，本季度结束了！\n这出色的工作能力，下季度也让我见识见识吧！
今日は休みにしようか\n疲れを取って、また頑張ろう,今天就休息一下吧\n缓解疲劳，然后继续努力
それでは発表します\n今回の合格者は──,那么接下来发表\n这次合格的人是──
合格者の方、おめでとうございます！\n本番まで、しばらくお待ちください,恭喜各位合格者！\n在正式演出之前，请稍事等待
う～ん、みんなビシッとキマってたが\n今回合格したのは──,唔，虽然大家都表现得很出色\n但是这次合格的是──
合格した人、おめでとう！\nよかったよ。本番もその調子でやっちゃって！,祝贺合格的各位！\n做的不错。正式演出也请保持优异表现吧！
お待たせしました。審査が終了しましたので、\n『W.I.N.G.』準決勝の結果発表をさせていただきます,各位久等了。审查结束了，\n接下来发表“W.I.N.G.”准决赛的结果
準決勝合格者の皆さま、おめでとうございます\n次は決勝です。ぜひ、今までで最高の姿を見せてください,准决赛合格的各位，恭喜你们\n接下来是决赛。请务必展现出迄今为止最棒的表现吧
次はぁ、ちょっとだけ本気だしちゃいますねー,接下来，稍微认真一点吧
お待たせしました。審査が出そろいましたので、\n『W.I.N.G.』決勝の結果発表をさせていただきます,各位久等了。审查结果出了，\n接下来发表“W.I.N.G.”决赛的结果
優勝者の方、おめでとうございます\nその他の方々は惜しくも敗退です。お疲れさまでした,恭喜优胜者\n其余各位很可惜没能取胜。大家都辛苦了
もう少し真面目にレッスンすればよかったです……,要是之前再稍微认真练习一下就好了……
プロデュースお疲れ様でした\nこの後は、フェスへ参加してみましょう！,制作人辛苦了\n那么等一下试试参加Fes吧！
プロデューサーさん、シーズン２が終了しましたよ\nみなさんと一緒に、リハーサルも頑張ってくださいね～,制片人先生，第2季度已经结束了\n接下来也请同大家一起加油排练吧～
合格の子、素敵だったわよ\nアタシ、気にいっちゃった。どんどん活躍してってね,合格的孩子，表现得真不错呀\n我很中意你。
合格者、おめでとう\nああ、他の子たちはもう帰っていいわよ,合格者，恭喜你\n哦，其他选手已经可以回去了
合格の人、おめでとう！\n他の子たちは、帰っていいよ。おつかれー,合格的人，恭喜你！\n其他人可以回去了。辛苦了ー
合格者の方、おめでとうございます\nそれ以外の方、お疲れさまでした,合格的那位，恭喜你\n其他的孩子，辛苦你们了
準決勝合格者の皆さま、おめでとうございます\n今、呼ばれなかった方は、ここで脱落となります,准决赛合格的各位，恭喜你们\n刚才，没有被叫到名字的，在这里被淘汰了
優勝者の方、おめでとうございます！\n皆さんに姿を見せてください。ここがアイドルの頂点です！,获胜的孩子，恭喜你！\n给大家展示你的英姿吧。这里就是偶像的顶点！
『W.I.N.G.』優勝です。おめでとうございます！\nプロデューサーさんなら成し遂げるって信じていましたよ！,“W.I.N.G.”优胜了。恭喜！\n我一直相信着制作人肯定能做到的！
それから今週は……\nもうひとつ、大事なお知らせがあるんです,然后这周啊……\n还有，一个重要的通知
本当に残念ですが、先程、連絡があり、\n「W.I.N.G.」への参加はできないと伝えられました,真的很遗憾，刚才得到了通知，\n无法参加“W.I.N.G.”
なんと……「W.I.N.G.」出場が決まりました\nやりましたね。プロデューサーさん！,真的……能参加“W.I.N.G.”了\n成功了呀。制作人！
やりましたね。白熱した戦いでした\n特に彼女のパフォーマンスは圧巻でしたよ！,胜利了呢。真是一场白热化的比拼\n她的表演尤其精彩呀！
……さすがに、強豪ぞろいでしたね\n『W.I.N.G.』、本当にお疲れ様でした,……不愧是豪强云集啊\n“W.I.N.G.”，真是辛苦了
完了まで,距离结束

#GRAD,
お待たせしました。審査結果を発表いたします\n『G.R.A.D.』予選を通過したのは……！？,久等了。现在公布审查结果\n通过“G.R.A.D.”预选的是……！？
予選通過の皆さま、おめでとうございます！\n本選でもその魅力を発揮してください！,通过预选的各位，恭喜你们！\n正式评选也请发挥出那份魅力吧！
予選通過の皆さま、おめでとうございます！\n呼ばれなかった方は、残念ながらここで脱落です……！,通过预选的各位，恭喜你们！\n没有被叫到名字的人，很遗憾被淘汰了……！
お疲れ様でした\n結果は残念でしたが……まだ諦めないでくださいね～,辛苦了\n虽然结果很遗憾……还请不要放弃～
敗者復活戦の出場が決定しました\nここで勝てば、本選のステージに立つことができますよ～,决定要参加败者复活赛了\n只要赢了就能参加正式评选哟～
プロデューサーさん、一緒に頑張りましょう～,制作人先生，一起加油吧～
プロデューサーさん、シーズン１が終了しました\n次も一緒に頑張りましょう～,制作人，第一季度结束了\n接下来也一起加油吧～
プロデューサーさん、シーズン２が終了しました\n次は予選です。頑張ってくださいね～,制作人，第二季度结束了\n接下来是预选。请加油哦～
おめでとうございます♪\n『G.R.A.D.』本選の出場が決定いたしました,恭喜♪\n决定出场“G.R.A.D.”正式评选了
本選までまだ時間がありますので\nしっかり準備してくださいね～,离正式评选还有不少时间\n请做好充分的准备哦～
プロデューサーさん、シーズン３が終了しました\n次が最後のシーズンですよ～,制作人，第三季度结束了\n接下来是最后一个季度哦～
シーズン４まで終了しました\nいよいよですね～。私もドキドキしてきました,第四季度结束了\n就快到了呢～。我也紧张起来了
お待たせしました。審査結果を発表いたします\n返り咲くのは、果たして……！？,久等了。现在公布审查结果\n赢得了参加正式评选资格的人，到底是……！？
合格の皆さま、おめでとうございます！\n本選への出場が決定いたしました……！,合格的各位，恭喜！\n你们可以参加正式评选了……！
合格の皆さま、おめでとうございます！\n呼ばれなかった方は、残念ながらここで脱落です……！,合格的各位，恭喜！\n没有被叫到名字的人，很遗憾被淘汰了……！
お待たせしました。審査が出そろいましたので、\n『G.R.A.D.』本選の結果発表をさせていただきます！,久等了。审查结果出来了，\n现在公布“G.R.A.D.”正式评选的结果！
おめでとうございます！\n今最も輝くアイドルに、盛大な拍手をお願いします！,恭喜！\n请向这位最为耀眼的偶像，献上热烈的掌声！

Landing Point,
プロデューサーさん、シーズン１が終了しました\n次のシーズンも頑張っていきましょうね～,制作人，第一季度结束了\n下个季度也请继续加油哦～
プロデューサーさん、シーズン２が終了しました\n次はどの曲を練習しましょうか？　頑張りましょうね～,制作人，第二季度结束了\n接下来练习哪首曲子呢？加油哦～
プロデューサーさん、シーズン３が終了しました\nライブの準備もラストスパートです。応援していますよ～,制作人，第三季度结束了\nlive的准备也到最后冲刺阶段了。我会为大家加油的～
シーズン４まで終了しました。ついにライブ本番です～\n練習の成果、存分に発揮してくださいね♪,第四季度结束了。终于到正式live了呢～\n将练习的成果尽情发挥出来吧♪

#试镜后↓,
合格ですかっ、ありがとうございますっ！,合格了吗，非常感谢！
不合格ですか……、次はもっと頑張りますっ,不合格吗……，下次我会更加努力的
……合格できたんだ、良かった……,……合格了，太好了……
まだまだ、レッスンが足りないな……,练习还远远不够啊……
プロデューサー！　合格したよ！　やったぁ！,制作人！我合格了哦！太好了！
あれっ、ダメだったんだ……悔しいなぁ,咦，不行啊……好不甘心
うちが合格！？\nおお……自分の才能が恐ろしか～！,我合格了！？\n噢……自己的才能真是可怕～！
ありゃ、今回はちょっと調子悪かったかな……,哎呀，这次是状态不太好吗……
いつも通りにやっただけですケド、良かったですー,我只是照常做了，结果还挺好
あぁ、落ちたんですねー,啊，落选了呢
よし、合格できた\nこれでファンの人たちを喜ばせる機会ができたな,好，合格了\n这样就有了让粉丝们开心的机会呢
不合格か……\n次の対策を考えないと……,不合格吗……\n必须要考虑下次试镜的对策啊……
やっりぃ！　すごいすごーい！,很好！太棒了！
あちゃー、さすがにちょっと厳しかったかー,哎呀，有些严格啊
合格……本当……かな……,合格……真的……吗……
やっぱり……そうなんだ……,果然……是这样……
やったぁ、合格しました！　ありがとうございます！,太好啦，合格了！非常感谢！
不合格ですか……\n次は、もっと頑張ります！,不合格吗……\n下次我会更加努力的
えっ、私？　ほんとに！？　──やったぁ！,诶，我吗？真的！？——太好了！
あっ……！　……私じゃ、ダメなのかな……,啊……！……我的实力不足吗……
よしっ！　なんとか合格したみてーだな,好！顺利合格了
まあ、仕方ねーか\n次、頑張ればいいだけだし……,没办法\n下次要继续努力……
合格……でしょうか……\n驚きました……,合格……了吗\n有些吃惊……
不合格……ですか……\n至らぬ凛世を……お許しください……,不合格……吗……\n请原谅……不成器的凛世……
合格したわ。まあ、当然の結果ね,合格了。嗯，理所当然的结果
これで終わりじゃないわ。次に繋げるのよ！,还没有结束。下次我会更加努力的！
甘奈、合格なの？　やったー☆,甘奈，合格了？太好啦☆
あちゃー、ダメだったかー……こういうときもあるよね,哎呀，不行吗……也会有这种时候呢
甜花が……合格……？　ほ、ほんとに……？,甜花……合格……？真、真的吗……？
不合格……やっぱり、甜花じゃ……ダメだったね……,不合格……果然，甜花……做不到呢……
わぁ、合格しちゃったの……！,哇，合格了……！
まあ、ダメなのね,哎呀，不行呢
あ、合格できたんだ,啊，合格了呢
う～ん……なんでなんだろ,唔……为什么
わあっ！\nえへへ、嬉しいです！　ありがとうございます！,哇！\n诶嘿嘿，好开心！谢谢！
みなさん、とっても素敵でした……\n次は、ふゆも負けないよう頑張ります！,大家表现得非常棒……\n为了下次能合格，冬优会加油的！
あ～、よかった\nとりま、ひと安心ってカンジかな～,啊～太好了\n总之，暂时放心了～
これって……やっぱうちの……,这……果然我的……
──あ、合格なんだ,——啊，合格了
残念,遗憾
ありがとうございます、とっても嬉しいです,非常感谢，我很开心
はい、とても悔しいです,嗯，很不甘心
ご、合格……よ、よかった……！,合、合格……太、太好了……！
ふ、不合格……も、もっと頑張ります……！,不、不合格……我、我会更加努力的……！
やは～、雛菜合格～～～！,呀哈～，雏菜合格了～～～！
あは～、雛菜不合格～～～？,啊哈～，雏菜不合格～～～？
──やっ……たぁ……！,——好……耶……！
お世辞とか大丈夫なのでー……,恭维的话就不必说了——……
よかった…………,太好了…………
そう、良かった……,是吗，太好了……
……そう、ごめんね,……这样啊，对不起
……良かった……,……太好了……
そっか、合格……良かった、ありがとう,这样啊，合格了吗……太好了，谢谢
そっか……ごめんね,这样啊……抱歉
ごめんね\n応援してもらっておいて……ダメだった,抱歉\n大家都这么支持我……却还是不行
……着地、\n失敗しちゃったみたい、ごめんね,……着陆，\n失败了呢，抱歉
……そうなんだ,……这样啊
……ありがとうございました,……非常感谢

次はいよいよ決勝だ\nこれまでにないほどファンのみんなを楽しませられるね,下次终于是决赛了\n能让粉丝们感受到前所未有的快乐呢
アイドルになれたからこそ\n私は本当の意味で人を喜ばせられたんだろうな,正因为成为了偶像\n我才能真正意义上使别人感到快乐吧
よっしゃ……\nあ、え、えっと……えへへ、すっごく嬉しいです♡,太好了……\n啊，那，那个……诶嘿嘿，冬优非常高兴♡
……へ？\n……えっと……ふ、ふゆが、一番、なの……？,……欸？\n……那个……冬、冬优是，第一名……？
わーいっ！　また正義のアイドルに一歩前進ですっ！,太好了！又朝正义的偶像前进了一步！
全力で戦えました！\n次は合格できるように、もーっと頑張ります！,尽全力了！\n为了下次能合格，我会更加努力的！
ついにここまで来れましたっ！\n決勝戦も頑張ります！,终于到这里来了！\n决赛我也会加油的！
す、スゴいですっ……！　努力の成果、ですよね！,好、好棒……！这就是，努力的成果是吧！
よっし！　大成功！　さっすが三峰って感じかなー？,好！非常成功！不愧是三峰呢？
やったやった！　大金星！\nこの調子でガンガン行っちゃうよー！,很好很好！成功了！\n就这么继续赢下去吧！
……、うそ、優勝？　私が……！？\n────よしっ……！,……，不是吧，我优胜了……！？\n————太好了……！
……ありがとうございます、嬉しいです,……非常感谢，我很高兴
……そうですか、残念です,是吗，真是遗憾
──……あ……\nうん、……ありがとうございます,——……啊……\n嗯，……非常感谢
……えっ──────,……诶──────

#wing半决赛、决赛后,
#真乃,
ここまで来たので最後まで頑張ります。むんっ,都来到这里了，我会努力到最后的。
ほわぁ！　夢みたいでとても感動ですっ,呼哇！像是在做梦一样，好高兴啊
#巡,
やったぁ！　決勝進出！　優勝目指して頑張るねー！,太好了！进入决赛了！我会朝着优胜加油的！
やっ……たーーーー！　優勝だよーーーー！！,我做到了————！赢了哦——————！
#摩美美,
……ふふ、悪い子の大勝利ですー,……呵呵，这是坏孩子的胜利
#圆香,
……嘘でしょ？　ふふっ……,……骗人的吧？ 呵呵……
……え？　ちょっと待って\n…………ライト、眩し…………,……诶？等一下\n…………灯光，好耀眼…………

#TV演出后↓,
#圆香,
お疲れ様、良かったよ！,辛苦了，你表现的很好！
そうですか,是吗
いや、本当に！\n度胸というか胆力というか……,真的很棒！\n该说是气魄还是胆量呢……
まわりをよく見ていたし、指示に対しても的確だった\nなかなかできることじゃない……驚いたよ！,好好地观察着周围，对于指示也做的非常到位\n挺能干的嘛……让我有些吃惊！
円香？\n……どうした、大丈夫か？,圆香？\n……怎么了，你没事吧？
いえ、別に。聞き流していただけです,没什么。只是把你刚才说的话当做了耳旁风而已
お、おお……そうか,哦，哦……是吗
とりあえず、ありがとうございます,总之，谢谢了
このくらいで褒めてもらえるなら、\nそれなりにやっていけそうですね,只是这样就能得到夸奖的话，\n感觉可以继续干下去呢

お疲れ様！\nどうだった？,辛苦了！\n怎么样？
別に、普通です,一般般吧
ははっ、円香らしい感想だな,哈哈，这感想真有圆香的风格啊
……ワンパターンみたいに言われるのも癪ですね,……被说成像是只会讲些老一套的话真是让人不爽
お、それじゃあ他の感想は？\n円香が思ったことや感じたこと、教えてくれ,喔，那还有别的感想吗？\n圆香的想法或是感受，告诉我吧
秘密です,这是秘密
えっ、ずるいぞ\n今度はそういうパターンなのか？,诶，太狡猾了\n这次换成了这种回答吗？
ずるい？　ふふ、かわいらしい語彙力\n小学生よりも稚拙な煽りしかできないんですね,狡猾？呵呵，你的词汇水平还真是可爱\n只能做出这种比小学生还幼稚的煽动呢
いやいや！　ええと……\nうん、話したくなったら、いつでも話してくれていいからな,哪有！呃……\n嗯，你现在不想说的话，等以后想说了再说也没问题
はい、とっても大人な対応をありがとうございます,好的，谢谢你这么明事理的回应

#support技能 体力支援↓,
一緒に日向ぼっこしよう？,一起去晒晒太阳吧？
いい曲見つけたんだけど、一緒に聴かない？,我发现了一首很不错的曲子，要来一起听听吗？
せっかくだし、一緒にどこか行こうよ！,机会难得，一起去别处逛逛吧！
三峰からの提案です！\nちょっとばかし、親睦など深めてみません？,三峰有个建议！\n虽然有点傻，要不要和我加深一下友谊？
息抜きに、どこか行こうじゃないか,一起找个地方休息一下怎么样
うちと一緒にお料理せんと？\n作って食べ合いっこするばい！,要不要来和我一起做饭？\n做好了一起品尝！
今度一緒に遊びに行こーよぉ,下次一起出去玩吧
あのね、すっごくきれいなお花が咲いてて……\n次のお休み、一緒に……見に行かない？,那个，非常漂亮的花盛开了……\n下次的休息日，要一起……去看看吗？
せっかくだし、一緒にお茶でもしましょう？,机会难得，一起喝杯茶吧？
次のご休暇は、お供をいたします……,下一个假日，让我来陪您度过……
甘奈と一緒にどっか行こ？,和甘奈一起去逛逛吧？
あの……一緒に、お昼寝……したい……\nダメ……？,那个……想一起，午睡……\n可以吗……？
一緒に雑貨屋さんをめぐりましょう？,一起去逛逛杂货店吧？
わたしと一緒に楽しいこと探すっす！,和我一起去找有趣的事情吧！
えへへ！　ふゆ、もっと仲良くなりたいです！\n一緒にお話しできたら嬉しいなぁ……,欸嘿嘿！ 冬优，想和大家变得更加亲密！\n要是能和我一起聊聊天就好了啊……
お休みに、チョコアイドルプレゼンツの\nスイーツ食べ歩きツアーなんてどうでしょうかっ？,
あの、あたしと一緒に遊びましょう！,那个，和我一起去玩吧！
うちとカラオケいかな～い？,要和咱一起去卡拉OK吗～？
……うん、構わないけど,……嗯，可以啊

#support技能 体力支援 回复↓,
わ、わたしでよければ……！,我、我可以的话……！
凛世で、よろしければ……,凛世，可以的话……
うんっ、いいよっ,嗯，好啊
ぜひぜひ！　よろしくです,务必务必！ 有劳了
めんどーじゃなければいいよー,不是很麻烦的事情就可以ー
うん！　もちろんいいよ！,嗯！ 当然可以！
うん！　よかよ～！,嗯！ 太好了！
わぁ！　いいんですか！？\nはい、喜んで、です！,哇！　可以吗！？\n好，我很，很开心！
もちろん！　おっけーです！,当然！ OK！
甜花で……いいの？\nにへへ……うれしい……,甜花……可以吗？\n诶嘿嘿……好高兴……

#完成训练或工作时↓,
やりました〜,做到了〜
いえーい,耶——
いぇいっ！,耶！
よし,好
よしっ！,好！
よしっ,好
よ、よし♪,嗯…好♪
成りました……,成了……
やっりぃ！,做到了！
やったぁ！,成功了！
やった！,做到了！
うん,嗯
ん……,嗯……
やは～,呀哈～
よっしゃ！,好！
……うん,……嗯
よーし,好
え、えへ……！,诶、诶嘿嘿……！

#训练或工作失败时↓,
あ……,啊……
あっ……,啊……

#感谢祭选择帮忙时↓,
ふんふ～ん！\nな～んでも任せとって！,呼～呼！\n全部交给我吧！
灯織、来週から手伝いを頼めるか？,灯织，下周可以请来你帮下忙吗？
わかりました\nお役に立てるよう、頑張ります,我明白了\n我会尽我所能的
めぐる、来週から手伝いを頼めるか？,巡，下周可以请来你帮下忙吗？
もっちろんだよ！\n何すればいいかなー？,当然可以！\n我该做些什么呢——？
智代子、来週から手伝いを頼めるか？,智代子，下周能拜托你来帮忙吗？
わかりました！\n……えへへ、差し入れ何にしようかな～？,我明白啦！\n……嘿嘿，慰问品选什么好呢～？
樹里、来週から手伝いを頼めるか？,树里，下周可以请来你帮下忙吗？
おー、おっけー\nアタシも、みんなでいい感謝祭にしたいからな,噢——，好啊——\n我也想和大家办一场出色的感谢祭
夏葉、来週から手伝いを頼めるか？,夏叶，下周可以请来你帮下忙吗？
いいわ、任せてちょうだい！,好啊，交给我吧！
霧子、来週から手伝いを頼めるか？,雾子，下周可以请你帮忙吗？
は、はい……！\nあの……頑張ります……！,好、好的……！\n那个……我会努力的……！
透、来週から手伝いを頼めるか？,透，下周可以请来你帮下忙吗？
小糸、来週から手伝いを頼めるか？,小糸，下周可以请来你帮下忙吗？
は、はい……が、頑張ります……！,好、好的……我、我会加油的……！
にちか、来週から手伝いを頼めるか？,日花，下周可以请来你帮下忙吗？
あ、はい,啊，好的
美琴、来週から手伝いを頼めるか？,美琴，下周可以请来你帮下忙吗？
いいけど……何をしたらいいの？,可以是可以……我该做些什么呢？


#偶像的恶作剧【蒙眼睛】,
#日花,
だーれだー……,我～是谁——……
……うわ、なんか\nめっちゃめちゃシャンプーの匂いする,……哇啊，能闻到\n很香的洗发水味
……っ\nマジで顔べったべたなんですけど！,……\n你的脸真的好油啊！

#美琴,
……誰だかわかる？\nプロデューサー,……猜猜我是谁？\n制作人
……すごい\nどうしてわかったの？,……好厉害\n你是怎么知道的？
……そう\nわからないよね、声だけだし,……这样\n分辨不出来呢，毕竟只有声音

#信赖度Level↓,
#真乃↓,
あ……あのっ、いつもご迷惑をおかけしちゃって\nすみません……っ\nこ、これからもよろしくお願いしますっ,那……那个，一直以来给您添麻烦了\n真是十分抱歉……\n从，从今以后也请多多指教
灯織ちゃんとめぐるちゃんの足を引っ張らないように\nもっとレッスンしなくちゃ……あの、プロデューサーさん、\n私がくじけないように見ていてくれますか……？,为了不给灯织和巡拖后腿\n要多进行训练才行……那个，制作人先生，\n
アイドルとして自信をもてるか、まだわかりません……\nでも、プロデューサーさんがいてくれたら、きっと……っ\nこれからもよろしくお願いします、プロデューサーさんっ,
お疲れさまです、プロデューサーさんっ\nあの……鳩さんに会いに、公園へ行きませんか？\nプロデューサーさんと一緒にお散歩できたらうれしいですっ,辛苦了，制作人先生\n请问，想不想去公园，和鸽子先生们相见呢？\n制作人先生要是能来一起散步的话就太让人开心了
プロデューサーさんに教えてもらったことが\n私の力になってるって、感じているんですっ\nだから最近レッスンもとっても楽しいなって思いますっ,
プロデューサーさんは、いつも背中を押してくれます\nまだ……色々不安に思うことがあっても\n私、プロデューサーさんを信じて頑張りますっ,
ふふ、ふかふかのパンケーキ…………ほわっ\nあ、あの……めぐるちゃんおすすめのカフェで食べたんです\n……ふたりとお話しながら、とっても楽しい時間でしたっ,
おやつにフルーツサンドを作りました\nあっ……プロデューサーさん、お腹空いてるんですか……？\nそれじゃあ、よかったら……どうぞ……っ,
プロデューサーさんのおかげで、今の私がいます\n……最初の一歩を踏み出した時から、これまでずっと──\nずっと一緒にいてくださって、ありがとうございます……っ,
あの……っ、いつも私のお話を聞いてくださって\nありがとうございます……っ\n誰かとこうしてお話しできるの……とってもうれしいなって,
……いつもそばに、灯織ちゃんとめぐるちゃんがいて\nいつもプロデューサーさんが支えてくださって……\n私……とっても幸せものだなって……そう思います……っ,

#灯织↓,
プロデューサー、お疲れ様です\n今日の調子ですか、問題ありません\nプロなんですから、気を付けるのは当たり前です,制作人，辛苦了\n今天的状态吗，完全没问题\n因为是专业的，注意好状态是理所当然的
なんだか眠そうですね……\n無理をするのは構いませんが、次の日に疲れを持ち越すのは\nよくないですよ、気を付けてくださいね,总感觉你很困呢……\n勉强自己虽然关系，但把疲劳带到第二天就不好了\n请注意好这点
ふぁ……、あ！　すみません……！　あくびなんて、\n恥ずかしいところをお見せしてしまいました……！\n気が緩んでいる証拠ですよね。注意します……！,呼啊，啊！ 抱歉！\n让你看见打哈欠这种丢人的地方了……！\n这是松懈的表现吧。我会注意的……！
あの……私の話し方って、どう思いますか？\nちょっと、キツめというか、厳しい……ですよね\n直したいんですけど……どうしたらいいか……,那个……你觉得我的说话方式，怎么样？\n是不是有些严厉……了呢\n我想改正它……该怎么做才好呢……
日頃から食事には気を遣うようにしてます\n栄養のバランスが偏ると、活動にも影響しますからね\nプロデューサーも、気を付けた方がいいですよ,平常就要特别注意饮食\n要是营养摄入不均的话，对活动也会有影响\n制作人，也注意一下比较好哦
よく笑うようになったって言ってもらえることが増えたんです\n……その。きっと……プロデューサーのおかげだから……\n……だから、頼りになるプロデューサーだと、思っています,
真乃とめぐるは、私にとっての光なんです\n私でも誰かの隣にいられるんだって、教えてくれたから──\n……巡り合わせてくれたこと、感謝しているんですよ,
『好き』だと言えるものは……あまり、ありませんでした\n……そう言えるものが増えたらいいなと思っています\nみんなが大事にしてくれる……私のことも、いつか──……,
ひとりでも多くのファンに笑顔になってもらいたいんです\nたくさんの笑顔をもらった今の私なら、できるって──……\n不安でも、信じています。……一緒にここまで来たんですから,

#巡↓,
プロデューサー！　お願いがあるの！\n今から一緒にお茶とかどうかな！？\nわたし、もっとプロデューサーとお話がしたいんだ！,制作人！ 我有个请求！\n现在一起喝杯茶怎么样！？\n我还想再和制作人多说说话！
