text,trans
ねぇねぇ！\nプロデューサーのこと、もっと教えてよ！,告诉我更多制作人的事情嘛！
……かまってほしいなー……,……好想被搭话啊……
プロデューサーと\nずっと一緒にいたいなー！,真想和制作人永远在一起啊！
ほらほら、\nプロデューサー、早く行こ！,制作人\n快点走吧！
プロデューサーが\nいてくれるから、\nどこまででも進めるよ！,因为有制作人在\n感觉什么都能做到！
応援してもらえて、\nわたしすっごく嬉しいよ！,能得到大家的支持\n我真的很开心哟！
んんっ！？\nあれっ、寝癖ついてる……！？,嗯！？\n咦，头发睡乱了……！？
撫でるの？　どうぞだよー！\nでも、髪結び直す時は、プロデューサーにやってほしいなっ！,要摸吗？请随意～\n但下次扎头发的时候，希望制作人能帮我呢！
プロデューサー\nそれはさすがに怒るよ？,制作人\n那样做真的会生气哦？
もう、わざとでしょー！\nそういうの、あんまりやると\n嫌われちゃうんだよー？,真是的、你是故意的吧！\n那种事，做太多的话\n会被讨厌的哦？
うひゃっ……！\n……もー、びっくりしたよー！,哇啊……！\n……真是的，吓我一跳！
なになにー？\nハグする？,怎么了怎么了？\n要抱一下吗？
あっつーい！\nこんな時は、冷たいものがほし\nくなっちゃうよーっ！,好——热！\n这种时候，好想要一些冷的东西啊
準備はできてるかなー？\n最後まで、フルスロットルで楽\nしもうねっ！,准备好了吗——？\n让我们尽情享受到最后一刻！
ねぇねぇ、プロデューサー！\nクイズだよっ！\n今日は何の日でしょうか！,制作人！\n来猜谜吧！\n今天是什么日子呢！
わぁ！　これ、くれるの？\nありがとうプロデューサー！\n大事に食べるねっ,哇！这个，给我的吗？\n谢谢你制作人！\n我会好好地吃掉它的
お返し目当てだったんじゃな\nいよ？　でも、ありがとう！\n今すぐ食べてもいいかなっ？,不需要回礼吗？\n但是，谢谢！\n可以现在就吃吗？
夏の大三角……\nわたしたちみたいだなーって！\nえへへ、だって星だからね！,夏季大三角……\n好像我们一样啊！\n因为，都是星星啊！
世界中どこでも、月の見える面\nは一緒なんだって！　みんな同\nじのを見てるってすごいね！,无论在世界的何处、看见的都是同一面的月亮！\n大家都在看着同一个东西好棒啊！
プロデューサー、トリックオア\nトリート！　お菓子をくれなき\nゃイタズラしちゃうよー？,制作人～，treat or trick！\n不把点心交出来\n就要恶作剧了哦——？

#恋钟（缺少p模式高好感语音）↓,
大船に乗ったつもりで\nうちにまかしとって！,就像是坐上了大船一样，\n安心的交给我吧！
おお……なるほど……！\n参考になるばい～！\nさすがプロデューサー！,哦哦…原来如此…！\n很有参考价值呢！\n不愧是制作人！
んふふ～！\nうちの髪、ふわふわで\n気持ちよかやろ～？,嗯哼哼～！\n我的头发、轻飘飘的，\n摸起来很舒服吧？
わっ\nご、ごめん～！\nぶつかった～！？,哇，\n抱、抱歉！\n不小心撞到你了吗～！？
ふえっ！？\nも～、驚かせんでよ\nプロデューサー！,呜哇！？\n真是的～、\n不要吓我嘛，制作人！
白くてやわらかかやつとか～\n茶色のサクサクのやつとか～\nん～、なんか忘れとらん～？,白色的软软的东西之类的～\n茶色的脆脆的东西什么的～\n～嗯～是不是忘记了什么呢～？
う、うちも……！\nこの間、渡せんかったけん\n交換したか……！,我、我也……！\n前一阵子、也想送这个来着\n现在要交换下吗……！
ぷ、プロデューサー……\nバレンタインにうちが言うた\nこと、覚えとる……？,制、制作人……\n情人节时和我说过的事情\n还记得吗……？
一年にいっぺんしか会えんなんて、うちならぜーったいに\n耐えられんばい……！,一年只能见一次面什么的，要是换成我的话，\n是绝对受不了的啊……！
うさぎがお月さんで\nついた餅……\nうまかやろうね～,兔子在月亮上\n做的年糕……\n一定会很好吃吧～
お菓子いっぱい作ったけん\nあのセリフ、\n何回言ってもよかよ～！,做了好多好多的点心\n那句台词、\n说几遍都没问题哦～！
プロデューサー……\nありがと～！\nうちは平気たい！,制作人……\n谢谢～！\n我没事的！
誰かと一緒にご飯食べて、\nそいで美味しかねって言って\n……そういうのって幸せやね,和谁一起吃饭、\n然后被称赞很好吃的话\n……这样真的会感到很幸福啊
んふふ～、幸せやねぇ～\nねぇ？,嗯哼哼～、真是幸福呀～\n对吧？
プロデューサー、嬉しか……？,制作人、你开心吗……？
プロデューサーが嬉しか時は、\nうちも嬉しかよ,制作人开心的时候、\n我也很开心哦
ふえ！？\nな、なんね！？,唔哎！？\n怎、怎么了！？
な、なんしよっと！？\nそういうんはよくなか！,做、做什么啊！？\n这样做可不好！
んん～！？\nなんか付いとったと？,嗯～！？\n是沾上什么东西了吗？
ここから\n世界ば見下して──,从这里\n俯瞰这个世界─
──跪かんね\n玉座の前に！,──跪下吧\n在这王座面前！
今日……こん世界は、\nうちらの名を記憶する──,今天……要让这个世界\n记住我们的名字——
鐘ば鳴ったら\n夜はいただき──！,钟声响起之时\n夜幕就将被我收下──！
お疲れ様ー\n今日も張り切っていくばい！,辛苦了——\n我今天也会全力以赴的！
今日は\nどげんレッスンすると？,今天要上什么课？
今日もうち、\nいろんなことに\n挑戦したかー！,今天我也想挑战各种事情——！
なんかが掴めそうたい！,好像能学到些什么！
……そげんのはやめんね,这种事情不要做了哦
プロデューサー……\n見損なったばい……,对制作人……\n真是看走眼了……
うちも、気にしとるけん\n触らんでよ……,我也很在意的啊，\n别再碰了啦……
プロデューサー\n言ってくれればわかるけん\nそんなに触ることなか,制作人\n说一声我就知道了\n不用碰我啊
ちょ、そんな\nベタベタせんで良かって,什，不用像这样\n缠着我也可以啊
もー、いいかげんにせんば\nいかんよ？\nプロデューサー,真是的——不适可而止不行哦？\n制作人
プロデューサー？\nてっきり居眠りかと\n思ったばい,制作人？\n还以为你睡着了
プロデューサー\nいつでも準備\nできとるけんね！,制作人\n我随时都准备好了！
うちの料理は世界一！\n寮のみんなにも評判なんよ！,我做的菜世界第一好吃！\n宿舍里的大家也很喜欢哟！

#三峰（缺少p模式高好感语音）↓,
お、プロデューサーだ\n三峰は今日も元気に\n頑張りますよー,哦，制作人\n三峰今天也会打起精神来\n努力工作的
さってとー？\n三峰のPはどんなお仕事を\n魅せてくれるのかなー？,接下来？\n三峰的P会带来怎样的工作呢——？
三峰、新発見の予感……！,三峰，新发现的预感……！
出るとこ出る？　謝っとく？\n好きなほうでいいよ？,是三峰去投诉你？还是你道歉？\n随你喜欢哦？
や、さすがにないわー……,哇，真没想到……
……それで？\nほんの出来心で、とか\n言っちゃう感じです？,……然后呢？\n“只是一时冲动”\n你要这么解释吗？
ちょっとプロデューサー……\n女の子に気安く触るのは\nどうかと思う……,等等，制作人……\n随随便便碰女孩子\n不太好哦……
理想と現実の区別は\nきちんとつけといたほうが\nいいと思うよ？,理想和现实的区别\n好好地分清楚\n会比较好哦？
うひゃ！？　タンマタンマ！\nお触りは禁止でしょ！\n常識的に考えて！,呜呀！？　停！\n触摸是禁止的！\n用常识思考一下啊！
どしたのプロデューサー\nぼーっとしちゃって,怎么了，制作人\n在那里发呆
プロデューサー？\n無視はよくないと思いまーす,制作人？\n无视别人是不好的哦
うーん……今日はやること\nないのかねぇ……,嗯……今天要做的事\n没有吗……
ねぇＰたーん、三倍返しの\n法則って知ってる？　三峰、\nまだゼロなんだけどな～,P炭，\n你知道三倍返还的法则吗?\n三峰到现在还一个都没有哦～
三峰ももらっていいの？\nやったラッキー♪\nさすがＰたん、マメだよねぇ,三峰真的可以收下吗？\n太好了，Lucky♪\n不愧是P炭，真是细心啊
こんなちゃんとしたもの\nくれなくてもよかったのに\n……嬉しい。ありがとう,明明不用给这么好的东西也可以的……\n好开心。谢谢
織姫も彦星もさぁ、サボるならもっと上手くやらなきゃだったよねぇ,织女和牛郎啊，要想在一起的话就要做得更好才行啊
一緒にお月見と洒落込みませ\nんかー？　今ならつまめる\nものもつけちゃうよー,一起赏月和奢侈一下怎么样？\n现在的话也要带上可以捏起来的东西哦
お菓子補充しとかなくて大丈\n夫？　あちこちから狙われる\nんだから、気を付けなよ～,不补充点心也没关系吗？\n　现在这里那里都盯上你了，\n要小心了哦～
それよりプロデューサー\n聞いて聞いて！,比起那个啊制作人\n听我说听我说哦！
プロデューサーは心配性だなぁ\n三峰なら平気だって,制作人真是爱操心啊\n三峰的话没关系的
プロデューサーは、アイドルを\nやる気にさせる天才かもね,制作人，\n是能让偶像干劲十足的天才也说不定呢
やめて！\n……──て、あ、ごめん……\nあはは、慣れてなくてさ……,不要！\n……──那个，啊，抱歉……\n啊哈哈，还不能习惯呢……
……まったく～\n三峰は猫とかじゃ\nないんですけどねー？,……真是的～\n三峰可不是小猫之类的哦？
……ねぇ、なんのつもり？,……喂、你想干什么？
やっぱりプロデューサーも\n気になる？\n…………大きさ……,果然制作人也很在意吗？\n…………这里的大小……
えっ、何どうしたの、怖い！\n急に触らないでよプロデューサー！,咦，怎么了，吓我一跳！\n不要突然碰三峰啊，制作人！
どうしたのー？\nスキンシップのつもりー？\nんー？,怎么了？\n难道是想和三峰身体接触吗？\n嗯？
当たり前だけど、なんでもホイホイ\n写真撮ってるわけじゃないからね？,理所当然的事，\n三峰可不是什么随便的照片都拍的哦？
──ありゃ、気付かれちゃった\nお仕事中のＰたんの写真、\nゲット～って思ったのにな,──啊呀，被发现了吗\n工作中的P炭的照片、GET～\n本来是这么想的啊
──……ね、すごく綺麗\nここにプロデューサーと来られたこと……すごく嬉しいよ,──……看呀，好美啊\n能和制作人一起到这里来……真的非常开心哦
さぁて、Ｐたんはいつまで\nおふざけってことで\n流せるのかな～？,那么，P炭到底想要把这个玩笑\n开到什么时候呢～？
あーのーさぁ。ちょっとは意識\nしてもらえないと、三峰も立つ\n瀬がないんですけどー？,我——说——啊。\n如果不稍微注意一下的话，\n三峰就没有立足之地了哦？
三峰にとっては空も通り道ってね！\nさて、派手に始めましょうか！,对于三峰来说天空也是一条道路哦！\n那么，华丽地开始吧！
飛べない、なんて言わせないよ\n三峰のためなら、不可能ぐらい\n可能にしてくれなくちゃ！,无法飞翔，之类的话不会让你说出口的哦\n为了三峰的话，\n不可能也要让它成为可能！
──聴け\n私たちはここにいる,──请听吧\n我们就在这里
この先は三峰たちの時間だよ\n──振り落とされない覚悟はできてる？,接下来可是属于我们的时间了哟\n──做好了不要被甩出去的觉悟了吗？
三峰のハートを温めてくれちゃ\nう優しい人は誰？　\n……ほら、教えてよ,能将三峰的心变得温暖的温柔之人是谁？\n……来，告诉三峰吧
実はアイドルというのはドッ\nキリでした！　とか言うなら\n今のうちだけど……平気？,“其实发掘你当偶像是骗人的”\n要这么说的话就趁现在哦\n……没关系吗？
やっぱアイドルって楽しいよ\n憧れてるだけじゃなくて\nよかった,果然做偶像很开心啊\n不只是去憧憬真是太好了
なんと、今日の三峰は\n燃えております！\n張り切って行っちゃうよー！,
おっけおっけ、三峰に任せて\n大船に乗ったつもりで\nいてくださいよ,
やだなぁ、Pたんったらー\nこんなの三峰しか\n許してくれませんよー？,P炭这可不行啊~\n除了三峰我之外的人\n可不會原谅你的哦—？
ひゃ！？　ちょっ、なに！？\nなんでそんなとこ触るのっ\nビックリするじゃん！,呀！？等下，什么！？\n为什么要摸那种地方啊，\n吓到我了啊！
あーあー、こんなことして\nいいのかなー？\n三峰知らないぞ～？,啊—啊—\n做这种事情真的好吗，\n三峰不太清楚呢~？
もー、プロデューサーってば\nそんなに三峰が気になるの？\n物好きだなぁ,
ふっふっふー\nプロデューサーがその気なら\n三峰にも考えがあるからね！,
アイドルだもん、そうそう\n安売りはしませんよー？\n……プロデューサー以外には,
もし拗ねちゃってるなら\n構ってもいいなーと思う\n三峰なのであった,
あんまり気を抜いてると\n悪戯しちゃうかもよ？\n……ど？　ビックリした？,
プロデューサーも、きっと\nお疲れなんだよね……\n…………いつもありがと,

#雾子（缺少一轮1突语音，四轮全部语音，p模式高好感语音）↓,
連れていって……\n空の奥まで……二万マイル……──,带上我一起……\n前往天空的……\n两万英里的深处……────
放物線と……約束したの……\nいつか逆さになって\n空にさわろうって……,我和抛物线……约好了……\n总有一天要将世界反转\n去触摸天空……
鉄よ……歌いなさい……\nあなたの小鳥のかわりに……,铁笼啊……歌唱吧……\n代替被你所囚禁的鸟儿……
ご注意……ください……\nわたしは……サーカスの獣……──,请……注意……\n我是……马戏团的野兽……──
スウィングしなきゃ……\n意味が……ないから……──,必须要摆动……\n即使……没有任何意义……
帰りましょう……\nお日さまと……一緒に……,回去吧……\n和太阳先生……一起……
白いとこ……踏みながら……\n帰りましょう……,踩着……斑马线……\n回去吧……
聞こえますか……\nプロデューサーさん……,听得到吗……\n制作人先生……
お上がりなさい……\n特別な……ピザトースト……,欢迎品尝……\n特制的……披萨土司……
ツナ缶さんと……コーンさんと……コンビーフさんと……輪になって……,和金枪鱼罐头先生……玉米先生……咸牛肉先生……围成一圈……
……ふふ、包帯、\nいつもより\n上手く巻けたかも……♪,呵呵，绷带\n比平时\n缠得更好……♪
行ってきます、\nプロデューサーさん！,我出发了\n制作人先生！
まき……まき……♪\n……ふふ,卷啊……卷啊……♪\n……呵呵
す、すみません……\n──怒られたんじゃ……\nないですか……？,对、对不起……\n没有……\n生气吧……？
あの……\nふふ……嬉しいです……,那个……\n呵呵……好开心……
わ……\nびっくりしました……！,哇……\n吓到我了……！
わたしも……\n聴かせてください……\nどきん……どきん……,也请……\n让我听一下……\n扑通……扑通……
ご、ごめんなさい……！\n時間でしたか……？,对、对不起……！\n到时间了吗……？
ふふ……\n手……あったかいです……,呵呵……\n手……好温暖
トン……トン……\n前に……前に……\nこのまま……一歩ずつ……♪,咚……咚……\n向前……向前……\n就这样……一步一步地……♪
気にしないでください……アーモンドさんたちと……お友達に……なってもらえればって……,请不要在意……\n要是能和杏仁先生们……成为朋友……就好了……
プロデューサーさん……！　ふふ……それじゃ……アーモンドチョコ……どうぞ……,制作人先生……！呵呵……\n那……杏仁巧克力……请收下……
わ……ありがとうございます……ふふ……きっと……とっても……優しいお菓子……,哇……非常感谢……\n呵呵……一定……\n是很温柔的点心……
お昼のあいだも……\n光ってるんです……\nお星さまたち……,白天的时候……\n也在发着光呢……\n星星先生们……
ウサギさんカニさん……\nおばあさんライオンさん……\n月のみなさんこんばんは,兔子先生、螃蟹先生……\n老奶奶、狮子座先生……\n月亮上的大家、晚上好
ミイラ男さんと吸血鬼さんど\nっちが強いって聞かれて……\nふふ……喧嘩はダメです……,木乃伊先生和吸血鬼先生谁更强\n我被这样问了呢……\n呵呵……打架是不可以的……
お花に……水をあげないと……,不给花……浇水的话……
ご、ご気分は……どうでしょう……？,感、感觉怎么样……？
ケ……ケガをしてるわけでは……\nないんです……,并……并没有受伤……
何かが……生まれそうなんです……！,感觉……能学到些什么……！
わ、わわ……！,哇、哇哇……！
ど、どうされましたか……,怎、怎么了……
こ、これは……\n何かの……罰……なんでしょうか……,这，这是……\n某种……惩罚……吗……
あっ……\nほ、包帯……ほどけてましたか？,啊……\n绷、绷带……松了吗？
な、何か……\nご用でしょうか……？,有……\n有什么事吗……？
ふぁっ……！\n……お、脅かさないでください……,呼啊……！\n……请，请不要吓我……
プ、プロデューサーさん\nわたしは……ここにいます……,制，制作人先生\n我……在这里……
す……すみません……\nどうされてるか不安になって……,对……对不起……\n不知道自己要做什么很不安……
……ちょっと……包帯を直してきますね,……我去……把绷带重新绑好

#摩美美（缺少二三轮1突语音，四轮全部）↓,
今日は忙しいんですー\nもう帰っていいですかぁ？,今天好忙\n我可以回去了吗？
次はぁ、ちょっとだけ本気だしちゃいますねー,下一次，得稍微认真点了呢
プロデューサー\n私のことをやる気に\nしてくださぁい,制作人——\n请让我充满干劲吧
私、何でもフツーにできるんでー\nサボってもいいですかぁ？,我，什么都能很普通的做到——\n偷懒也可以吗？
気分を害しましたぁ,毁了我的心情啊
最っ低ですねー,真是差劲啊——
幻滅ですー\n変態さんだったんですねー,幻灭了——\n原来是变态先生啊——
何するんですかぁ\nやめてほしいんですケドー,你在做什么\n希望你能住手——
女の子にー軽々しく触っちゃ\nダメだと思いまーす,轻易地碰女孩子——\n我觉得是不行的哦——
触らないでくださいー\n私、もう来ませんよー？,请不要碰我——\n不然我就不再来了哦——？
今のうちに次にするイタズラ\n考えておきますねー,趁现在考虑一下\n下一个恶作剧吧——
ふわぁ……\nやることないと、眠いですねー,呼哇……\n没事做的话，好困啊——
私が急に事務所に\nこなくなったらぁ\nどうしますー？,要是我突然不再来事务所了\n你会怎么办呢——？
事務所にくるの\n嫌いじゃないですよー,来事务所\n并不讨厌哦——
おはよーございまぁす\n……挨拶くらい、\n私もしますよー,早上好\n……打招呼之类的\n我还是会做的——
今日の私、\n珍しくやる気があるかも\nしれませんよー？,今天的我\n说不定意外的充满动力哦——？
んー、何かが掴めそうな予感がするかもー,嗯——，有种能掌握什么的预感——
きゃっ──\n……今の声は聞かなかった\nことに、してくださいー,呀——\n……刚才的声音\n请当作，没听到——
イタズラの仕返しですかぁ\nまったく、プロデューサーは\n悪い大人ですねー,这是恶作剧的报复吗\n真是的，制作人真是个坏大人啊——
ここで悲鳴を上げたらぁ\nどうなりますかねー\n……ふふー,要是我在这里发出悲鸣的话\n会怎么样呢——\n……哼哼——
まみみに触ったってことはぁ\n仕返ししてもイイって事ですよねー,摸了摩美美就代表\n就算回击也没关系吧——
私の服が気になるんですかぁ？\nプロデューサーも、着てみますー？,很在意我的衣服吗？\n制作人也试着穿上看看——？
他の女の子にはぁ\n気軽に触っちゃダメですよー,如果是其他女孩子\n可不会让你随意的碰哦——
仕事ばっかりしてないでー\nプロデューサーも一緒に\nサボっちゃいませんかぁ,不要一直工作啊——\n制作人也一起\n偷会儿懒怎么样？
どうしたんですかぁ\nイタズラでもされましたー？\nふふー、私じゃないですよー,怎么了？\n被人恶作剧了——？\n哼哼——，不是我干的哦——
プロデューサー\n私が特別にー\n料理作ってあげましょうかぁ,制作人——\n要我特别地——\n给你做饭吗
あ、プロデューサー\nじゃないですかぁ\nどーしたんですかぁ？,啊，这不是制作人吗——\n怎么了吗？
ふわぁ～\nおはよーございまぁす\nまだ眠いですよー,呼啊～\n早上好——\n还是很困呢——
私、悪い子ですからぁ、\nイタズラは好きですよー,因为我是个坏孩子\n所以很喜欢恶作剧哟——
勝手に触らないでくださいー\nいきなりなんですかぁ,别擅自碰我——\n突然之间做什么啊
……もしかしてー\nプロデューサーも頭撫でて欲しいんですかぁ？　ふふー,……难不成——\n制作人也想摸摸头吗？　哼哼——
…………\n……不愉快なんですケド,…………\n……真让人不爽
最低な変態さんにはぁ、仕返しが必要ですよねー\nふふー遠慮せずにいきますよー,对付恶劣的变态先生，有回击的必要呢——\n哼哼——我就不客气了哟——
……何するんですかぁ\nプロデューサーのせいで服が汚れたかもしれませんー,……你在做什么\n都怪制作人，衣服有可能变脏了——
……ふふー……プロデューサー\nイタズラにはイタズラで返しますねー,……哼哼——……制作人——\n对付恶作剧就要用恶作剧来反击呢——
私、なんだか甘い物が食べた\nい気分ですー。……忘れてる\nなら別にいいですケドー……,我，不知怎么忽然有点想吃甜食呢——\n……忘了的话倒也没什么——……
急になんですかぁ？\n……でも、ふふー\nお菓子ゲットー,突然间怎么了？\n……但是，哼哼——\n得到点心了——
──え\n……ぁ、……そ、そーいうん\nじゃなかったんですケド……,——诶\n……呃，……倒也不用\n做到这种地步……
短冊に書くのって、どんな願いごとでもいいんですかぁ？\nふふー、何から書こうかなぁ,什么愿望都可以往短册上写吗？\n哼哼——要写什么好呢
ずっと黙ってたんですケドー\n私、満月の夜になると……\n…………嘘ですよー,虽然一直没有告诉你\n我，一旦到了月圆之夜就会……\n…………骗你的啦——
今すぐストロベリーサンデーが食べたいですー。用意できないならイタズラしまぁす,我现在想立刻吃到草莓圣代\n不能准备的话就要恶作剧了
遅かったですねー\n待ちくたびれちゃいましたぁ,好慢啊——\n我都等累了
ふふー\nタバスコ入りカレードリアの\n味はどうでしたぁ？,哼哼——\n加了塔巴斯科辣椒酱的咖喱焗饭\n的味道如何？
退屈な運命なんて興味ない\n……言ってる意味、\nわかりますよねー？,我对无聊的命运什么的不感兴趣\n……这么说的目的，\n你明白的吧——？
孤独を吹き飛ばす炎──\n聴こえますか？,将孤独吹散的火焰——\n听得到吗？
びっくりしましたかぁ？\nふふー……今、びっくり\nしてましたよねー？,吓了一跳吗？\n哼哼——……现在，是不是非常吃惊呢——？
私たちが旅に出る理由……\nそれを知る旅の始まりですー,我们为什么要旅行……\n为了知晓这个问题的答案我们踏上了旅途——
今日もまぁ、\nほどほどにやってきまぁす,今天也，\n适可而止地工作吧
アンティーカの物語を\n見せてあげましょうかねー,就让你见识下\nL'Antica的故事吧——

#咲耶（缺少二轮全部，三轮1突）↓,
今日も頑張っていこう、プロデューサー,今天也加油吧，制作人
今日は何をするんだい？\nレッスン、お仕事……なんでも言ってくれ,今天打算做什么？\n课程，工作……随便你怎么说
プロデューサー、調子はどうだい？,制作人，最近怎么样？
あと少しで、何か掴めそうな気がするんだけれどね,我觉得再过一会儿就能掌握到什么了
そういうのはちょっと……\nどうかと思うのだけどね,这种事有点……\n我觉得不太好
……これがアナタの仕事なのかい？,……这就是你的工作吗？
正直に言って、ショックだよ,说实话，我很震惊
おっと……\n何をしてるのかな？,哎呀……你在做什么？
アナタとはいえ、許さないよ？,即使是你，也不能原谅哦？
そんなことをして\n私をどうしたいのかな？,做这种事\n你想把我怎么样？
ぼんやりしてどうしたんだい？,在那里发呆，怎么了吗？
ふぅ、さてどうしたものかな？,哼嗯，接下来该怎么办呢？
みんなが喜ぶ私になるには\nどうしたらいいんだろう,为了能让大家开心\n我该怎么办呢
さぁ、今日もはりきって\nファンのみんなの期待に応えるとしようか,那么，今天也鼓足干劲\n回应粉丝们的期待吧
今日も調子はよさそうだね\nフフ、私も絶好調だよ,今天的状态也不错呢\n呵呵，我可是状态绝佳
アイドルの世界は眩しいね……,偶像的世界好耀眼啊……
な、なんだか恥ずかしいな,怎，怎么觉得好难为情啊
うーん……反応に困るなぁ,唔……不知道改做出什么反应啊
そんなに気になるかい？\nけれど、ほどほどにね,那么在意吗？\n但是，要适可而止
フフ、ダメだよ\nくすぐったいじゃないか,呼呼，不行啊\n好痒啊
おっと……プロデューサーか\nどうしたのかな？,哇哦……制作人\n怎么了吗？
フフ、私からアナタに触れても、文句は言わせないよ？,呼呼，如果我碰你，你不会有意见吧？
フフ、構われたくて黙ってるのかい？\n可愛いところがあるんだね,呼呼，想被搭讪而故意保持沉默吗？\n你还是有可爱的地方啊
今度私と一緒に遠出してみないかい？,下次和我一起去远行怎么样？
今私がこんなに楽しいのは\nアナタのおかげかもしれないね,现在的我能这么开心\n也许都是你的功劳
…………\n何かを言うのは良くないね\nアナタに会えただけで十分さ,……\n不说点什么不太好呢\n能和你相遇就足够了
ありがとう\nアナタはとても義理堅いね\n私も、次は応えなくては,十分感谢\n你这个人很讲情义啊\n下次，该我回礼了
──……っと……\nあ、えっと……ありがとう\nこれは……嬉しい、ものだね,——……这……\n啊，那个……十分感谢\n这真是……很让人，开心的礼物啊
短冊に何と書いたんだい？\nいや……もし私に叶えられるものならいいな、と思ってね,在短册上写了什么？\n嗯……要是我的愿望能够实现就好了，我这么想的
月を見ると、なんだか\n胸がざわめくような……\n……クス、なんてね,看到月亮后，不知为何\n心中躁动不安……\n……呵呵，骗你的
言われる側も楽しそうだね\nアナタがどんな悪戯をするのか\n……フフ、興味があるよ,作为被恶作剧的一方也很有意思啊\n你会做出什么样的恶作剧呢\n……呵呵，好感兴趣啊
やあ、私に何か用かな？,呀，找我有什么事吗？
これからも頼りに\nさせてもらうよ,今后也让我\n多多依赖你吧
私をプロデュースするのは、\n楽しいかい？,培育我，\n开心吗？
